Слово,Употребление,Значение,Пример_1,Пример_2,Пример_3,Перевод,Синоним_1,Синоним_2,Синоним_3,Синоним_4
ЛОЛ,комп. сленг.,"Аббревиатура, используемая в интерактивном общении в Интернете; используется для выражения комплимента к чувству юмора у собеседника. Нередко используется в спорах, как выражение неуважения к аргументам оппонента.","Я не мог сдержать смех, когда прочитал его комментарий — ЛОЛ, ты действительно умеешь шутить!","В нашем чате кто-то снова написал что-то абсурдное, и я просто ответил: ""ЛОЛ, это не аргумент!""","Она рассказала такую смешную историю, что я не удержался и написал ей: ""ЛОЛ, ты просто гений юмора!""",(англ. lol сокр. от laughing out loud смеяться громко).,,,,
ЛУЗЕР,част. мол. сленг.,Неудачник по жизни.,"Несмотря на свои старания, он часто чувствовал себя лузером, так как не мог добиться успеха в карьере.","Некоторые друзья подшучивали над ним, называя его лузером, но он знал, что у каждого бывают трудные времена.","Она решила изменить свою жизнь и больше не считала себя лузером, а вдохновилась новыми целями и мечтами.",(англ. loser неудачник).,,,,
МАЖОР,част. мол. сленг.,"Представитель молодежи, ведущей беспечный, разгульный образ жизни за счет богатых, высокопоставленных родителей.","На вечеринке собрались мажоры, которые беззаботно тратили деньги своих родителей, не задумываясь о будущем.","Мажоры часто устраивали роскошные вечеринки, где угощения и развлечения не знали границ.","Несмотря на свою жизнь в роскоши, мажоры иногда чувствовали пустоту, ведь настоящие друзья были им не по карману.","(англ. major главный, большой).",,,,
МАНИ,част. нескл. мол. сленг.,Деньги.,"На вечеринке мажоры щедро раздавали мани, не задумываясь о том, как это отразится на их будущем.","Он всегда мечтал о жизни, полной приключений, но понимал, что для этого нужны мани.","В его кармане звенели мани, и он решился на спонтанную поездку в экзотическую страну.",(англ. money деньги).,,,,
МАРКЕТ,ком.,Продовольственный магазин.,"В нашем городе открылся новый маркет, где можно найти свежие продукты по разумным ценам.","Я люблю ходить в маркет по выходным, чтобы выбирать лучшие фрукты и овощи.","В этом маркете всегда проходят интересные акции и распродажи, что делает покупки еще более приятными.",(англ. market рынок).,,,,
МЭЙЛ,част. комп. сленг.,Электронная почта,"Я отправил тебе важный документ по мэйлу, проверь, пожалуйста, свою почту.","Не забудь написать мне на мэйл, когда вернёшься из отпуска, чтобы мы могли обсудить проект.","Я получил уведомление на мэйл о предстоящем собрании, так что не забудь подготовиться.",(англ. mail почта).,Электронная почта,,,
НАЙС,част. мол. сленг.,"Хороший, прекрасный, красивый, симпатичный.","Ооо, этот парень просто найс!","Сегодня на улице такая найс погода, что хочется гулять целый день.","У неё найс улыбка, которая всегда поднимает настроение.",(англ. nice хороший).,,,,
НЕТВОРКИНГ,част. биз.,"Процесс поиска, налаживания и последующего поддержание контактов с опытными людьми, профессионалами своего дела для налаживания контактов для карьерного роста. Н. является хорошим способом получить полезный опыт и знания в интересующей области, расширить возможности для поиска работы. Многие специалисты в области поиска работы указывает на существенно большую эффективность нетворкинга, по сравнению с обычным поиском вакансий.","Нетворкинг стал важной частью моей карьеры, так как благодаря новым знакомствам я смог получить ценные советы от опытных профессионалов.","Многие специалисты рекомендуют активно заниматься нетворкингом, чтобы расширить свои возможности для карьерного роста и найти интересные вакансии.","Участие в профессиональных конференциях и семинарах — это отличный способ для нетворкинга, который помогает наладить полезные контакты в своей области.",(англ. net working – net сеть + to work работать; net work сетка).,,,,
НИКНЭЙМ,част. интерн.,Пароль-кличка для входа в чат Интернета.,"При регистрации на новом форуме мне пришлось придумать оригинальный никнэйм, чтобы выделиться среди других пользователей.","Многие игроки предпочитают использовать никнэймы, чтобы сохранить анонимность и защитить свою личную информацию в онлайн-играх.","В чате я встретил человека с никнэймом, который сразу привлек мое внимание своей креативностью и юмором.","(англ. nickname прозвище, кличка).",Прозвище,Кличка,,
ОЛДЫ,мол. сленг.,Родители.,"В нашем доме всегда царила атмосфера любви и уважения, благодаря мудрости олдов, которые делились своими жизненными историями.","Олды часто учат нас важным жизненным урокам, которые помогают справляться с трудностями.","Мы решили устроить вечер воспоминаний, чтобы поблагодарить олдов за все их жертвы и поддержку на протяжении многих лет.",(англ. old старый).,Родители,,,
ПАРСИТЬ,част. интерн.,"Разбирать какой-либо документ на составляющие части и обрабатывать их, согласно конечной цели (например, сделать подборку статей определенного автора, или подбор данных на определенную тематику).",Наиболее активно «парсят» всемирную сеть роботы поисковых систем.,"Для создания аналитического отчета нам нужно парсить данные из нескольких источников, чтобы выявить ключевые тенденции.","Я собираюсь парсить статьи на тему экологии, чтобы составить подборку лучших материалов для своего исследования.","(англ. to parse проводить синтаксический анализ, делать грамматический разбор).",,,,
ПЛЕЙЛИСТ,част. инф.,Список файлов для воспроизведения.,"Я создал новый плейлист с любимыми песнями, чтобы слушать их во время тренировки.",На нашем музыкальном сервисе вы можете делиться плейлистами с друзьями и открывать для себя новые треки.,"Чтобы улучшить атмосферу вечеринки, я подготовил плейлист с зажигательной музыкой и хитами всех времен.",(англ. playlist – to play играть + list список).,,,,
ПРАНК,част. мол. сленг.,"Телефонный розыгрыш, а также розыгрыш по и-мейлу или в соцсетях, нередко граничащий с хулиганством. Запись такого розыгрыша, размещённая в Интернете и связанная с этим молодёжная субкультура.","Мы решили устроить пранк, позвонив другу и притворившись, что мы его начальники, чтобы посмотреть на его реакцию.","В социальных сетях стало популярным выкладывать записи пранков, где люди разыгрывают своих знакомых с помощью неожиданных шуток.","Многие молодые блогеры зарабатывают на жизнь, создавая контент с пранками, которые нередко вызывают споры из-за их граничащего с хулиганством характера.","(англ. prank шалость, проказа).",Розыгрыш,,,
РАМДОМНЫЙ,редк. комп. сленг.,Случайный,"Мы выбрали рандомный номер телефона для нашего эксперимента, чтобы проверить, как люди реагируют на неожиданные звонки.","В игре использовался рандомный генератор, который определял, какие предметы игроки получат после завершения уровня.","На вечеринке мы решили провести рандомный розыгрыш призов, чтобы сделать мероприятие более интересным для гостей.","(англ. random случайный, произвольный).",Случайный,,,
РЕПОСТ,част. интерн.,"Повторная публикация какого-либо сообщения в пределах одного ресурса; акт копирования записи к себе на страницу в социальной сети. Скопированная запись или новость. После того как вы сделаете репост какой-либо новости, её смогут прочитать ваши друзья и подписчики.","Я сделал репост интересной статьи о путешествиях, чтобы мои друзья тоже могли её прочитать.","Многие пользователи социальных сетей активно делают репосты, чтобы делиться актуальными новостями со своими подписчиками.","После того как она опубликовала пост о благотворительном мероприятии, я сразу же сделал репост, чтобы привлечь больше внимания к этой важной теме.",(англ. repost распространение; повторное оповещение).,,,,
РОФЛ,комп. сленг.,"Шутка, прикол. Аббревиатура, употребляемая вместо фразы «катаюсь по полу от смеха».","На вечеринке все обсуждали последние новости и делились рофлами, которые нашли в интернете.","Я нашёл рофл в интернете, который заставил меня смеяться до слёз.","Мы решили устроить конкурс на лучший рофл, и это было очень весело.",(англ. ROFL сокр. от Rolling On the Floor Laughing).,Анекдот,Прикол,Шутка,
СТАЛКЕР,част. соц.,"Человек, принадлежащий к маргинальным группам населения, хорошо ориентирующийся в местах, которые по тем или иным причинам являются запретными или мало известными основной массе населения: подземелья, заброшенные территории, подвергшиеся радиационному воздействию и т. п.","Сталкеры часто исследуют заброшенные здания и подземелья, оставляя за собой лишь загадочные истории о своих приключениях.","В нашем городе есть группа сталкеров, которые регулярно организуют вылазки на радиационно опасные территории, чтобы запечатлеть уникальные кадры для своих блогов.","Он стал известным сталкером после того, как поделился своими находками из заброшенного завода, привлекая внимание любителей экстрима и городских легенд.","(англ. stalker охотник, преследователь).",,,,
СТАРТАП,част. эк.,"Новая, недавно созданная фирма или компания.",Недавно основанный стартап привлек внимание инвесторов благодаря инновационному подходу к решению экологических проблем.,"Команда молодых предпринимателей запустила свой стартап, который предлагает уникальные решения для онлайн-образования.",Успех этого стартапа вдохновил многих студентов на создание собственных бизнес-проектов в области технологий.,(англ. start-up).,,,,
СТРИМ,сми.,"Современный метод информационных технологий – потоковое мультимедиа, которое непрерывно получается пользователем от провайдера потокового вещания; живая трансляция. Симбиоз потокового мультимедиа и компьютерных технологий.","Вчера я смотрел стрим любимого геймера, который делился своими тактиками и отвечал на вопросы зрителей в реальном времени.",Новая платформа для стриминга позволяет пользователям легко организовывать живые трансляции и взаимодействовать с аудиторией.,"Во время стрима конференции эксперты обсуждали последние тренды в области технологий и ответили на вопросы зрителей, что сделало мероприятие особенно интерактивным.",(англ. stream media – stream поток + media средства информации).,,,,
ТАЧСКРИН,част. тех.,"Устройство ввода информации, представляющее собой экран, реагирующий на прикосновения к нему.","Новый смартфон оснащён современным тачскрином, который обеспечивает мгновенную реакцию на прикосновения и позволяет легко управлять приложениями.","Благодаря высокому разрешению и чувствительности тачскрина, взаимодействие с планшетом стало более удобным и интуитивно понятным.",,(англ. touch screen – touch касание + screen экран).,,,,
ТРЭШ,мол. сленг.,Отстой.,"Я посмотрел новый фильм, и он оказался полным трэшем — сюжет был несуразным, а актерская игра просто ужасной.","Эта книга — настоящий трэш, я не понимаю, как она могла стать бестселлером.",Мы с друзьями решили не тратить время на этот трэш и выбрали что-то более интересное для просмотра.,(англ. trash отбросы).,Отстой,,,
ФИДБЭК,част. общ.,"Обратная связь, отклик на какое-либо событие.","Мы получили положительный фидбек от клиентов после запуска нового продукта, что вдохновило нашу команду на дальнейшую работу.","Важно учитывать фидбек сотрудников при разработке новых корпоративных инициатив, чтобы создать комфортные условия для всех.","После презентации проекта мы ждали фидбек от инвесторов, чтобы понять, насколько они заинтересованы в нашем предложении.",(англ. feedback ответная реакция).,Отклик,Обратная связь,,
ФРИЛАНСЕР,част. биз.,"Человек, работающий вне штата.","Фрилансеры часто имеют гибкий график, что позволяет им совмещать несколько проектов одновременно.","Многие компании предпочитают нанимать фрилансеров для выполнения специфических задач, чтобы сократить затраты на постоянный штат.","Как фрилансер, она смогла путешествовать по миру, работая над проектами из разных уголков планеты.",(англ. freelancer «свободный художник»).,,,,
ФЭЙК,част. мол. сленг.,"Что-л. поддельное, ненастоящее.","В интернете появилось множество фэйков, которые выдают себя за реальные новости, вводя пользователей в заблуждение.",Она быстро распознала фэйк среди оригинальных картин на выставке и решила не тратить деньги на подделку.,"Многие люди стали более осторожными, чтобы не попасться на удочку фэйков, которые активно распространяются в социальных сетях.",(англ. fake фальшивый).,,,,
ХАЙП,редк. общ.,"Восторженные толки, разговоры по поводу чего-либо, часто раздуваемые искусственно. например. в маркетинге.","В последние месяцы вокруг нового смартфона возник настоящий хайп, и многие покупатели стояли в очереди, чтобы заполучить его в первые дни продаж.","Хайп вокруг нового фильма создал огромный интерес, но критики оказались не столь впечатлёнными его содержанием.","Социальные сети раздули хайп о новом тренде в моде, заставив людей тратить деньги на вещи, которые быстро выходят из стиля.","(англ. hype – to hype вводить в курс дела, информировать).",Шумиха,Оживление,,
ХАРДКОРНЫЙ,сленг.,"Трудный, требующий усилий, напряжения.","Этот курс по программированию действительно хардкорный, и чтобы успешно его пройти, нужно потратить много времени и усилий на изучение материала.","В этом марафоне участвуют только хардкорные бегуны, готовые преодолевать сложные дистанции и не бояться трудностей.","Мы решили провести хардкорный тренинг, который потребует от участников полной концентрации и физической выносливости.","(англ. hardcore жёсткий, стойкий; аппаратное ядро).",Трудный,Сложный,,
ХЕЙТИТЬ,част. мол. сленг.,"Испытывать чувство неприязни, ненависти, презрения к кому-/чему-либо.","Некоторые пользователи социальных сетей начали хейтить новые инициативы, считая их неуместными и поверхностными.","Я не понимаю, почему люди хейтят тех, кто просто пытается быть собой и выражать свои мысли.","Вместо того чтобы хейтить чужие достижения, лучше вдохновиться ими и стремиться к собственному развитию.",(англ. to hate ненавидеть; испытывать отвращение).,Ненавидеть,Презирать,,
ЧЕЛЛЕНДЖ,интерн.,"В социальных сетях – предложение совершить какое-то действие на спор, вызов.","В этом месяце я решил принять челлендж и попробовать выполнить 30 дней без сахара, делясь своим опытом в социальных сетях.","Мои друзья запустили челлендж на Instagram, где каждый должен показать свои любимые рецепты здорового питания.","Я с удовольствием присоединился к челленджу по утренним пробежкам, чтобы мотивировать себя и своих подписчиков вести активный образ жизни.",(англ. challenge вызов; проблема).,Вызов,,,
ЧИТЕР,част. комп. сленг.,"Разновидность геймеpа, который применяет специально созданные программы в различных многопользовательских играх для получения неоспоримого преимущества над другими игроками.","На соревнованиях по видеоиграм организаторы строго следят за тем, чтобы не было читеров, использующих нечестные приемы для победы.","Он стал известным в игровом сообществе как читер, потому что постоянно использовал запрещенные модификации, чтобы обойти своих соперников.","Несмотря на то, что его друг был читером, он решил не осуждать его, а попытаться убедить играть честно и получать удовольствие от игры.","(англ. cheater мошенник, плут).",Жулик,Мошенник,,
ШОПИНГ,част. ком.,Посещение магазина с целью покупки чего-либо. Покупка товаров.,"В выходные мы с подругой планируем отправиться на шопинг, чтобы обновить гардероб к новому сезону.","Шопинг в крупных торговых центрах всегда приносит массу удовольствия, особенно когда проходят распродажи.","Я предпочитаю делать шопинг онлайн, так как это экономит время и позволяет сравнивать цены на разные товары.",(англ. shopping – to go shopping ходить за покупками).,,,,
ЭКСТРИМ,част.,"Мероприятия (например, игры, путешествия), включающие участника в активные действия с элементом реального риска.","В этом году мы решили отправиться на экстрим-тур, который включает в себя парапланеризм и сплав по бурной реке.","Команда участников приняла вызов и зарегистрировалась на экстрим-игры, где их ждали испытания на высоте и в условиях сильного ветра.","Экстрим-путешествия становятся все более популярными среди молодежи, желающей испытать себя в таких видах активности, как скалолазание и альпинизм.",(англ. extreme).,,,,
ЮЗАТЬ,мол. сленг.,Пользоваться чем-либо.,"Я люблю юзать новые приложения на своем смартфоне, чтобы упростить повседневные задачи.","Он часто юзает свои навыки программирования, чтобы создавать интересные проекты и решать сложные задачи.",Мы решили юзать старую мебель для создания уникального интерьера в нашей квартире.,(англ. use – to use использовать).,Пользоваться,Использовать,,
